# LiDAR Point Cloud Data
# Session: 20251016_203247
# Lines: 16, FOV: 48°
# Format: X Y Z Range
# Total Points: 246
-1.125 1.456 -4.800 8.618
1.147 1.288 -4.800 8.787
1.501 1.901 -4.800 8.237
1.944 1.901 -4.800 8.329
-1.961 1.831 -4.200 8.401
-1.514 1.831 -4.200 8.308
-1.075 1.831 -4.200 8.240
-0.643 1.831 -4.200 8.194
-0.214 1.831 -4.200 8.172
0.214 1.831 -4.200 8.172
0.643 1.831 -4.200 8.194
1.075 1.831 -4.200 8.240
1.514 1.831 -4.200 8.308
1.961 1.831 -4.200 8.401
-1.961 1.831 -3.600 8.401
-1.514 1.831 -3.600 8.308
-1.075 1.831 -3.600 8.240
-0.643 1.831 -3.600 8.194
-0.214 1.831 -3.600 8.172
0.214 1.831 -3.600 8.172
0.643 1.831 -3.600 8.194
1.075 1.831 -3.600 8.240
1.514 1.831 -3.600 8.308
1.961 1.831 -3.600 8.401
-1.961 1.831 -3.100 8.401
-1.453 2.158 -3.100 7.976
-1.032 2.158 -3.100 7.909
-0.617 2.158 -3.100 7.866
-0.205 2.158 -3.100 7.845
0.205 2.158 -3.100 7.845
0.617 2.158 -3.100 7.866
1.032 2.158 -3.100 7.910
1.453 2.158 -3.100 7.976
1.961 1.831 -3.100 8.401
-1.972 1.787 -2.500 8.446
-1.414 2.373 -2.500 7.757
-0.966 2.665 -2.500 7.398
-0.577 2.669 -2.500 7.354
-0.192 2.669 -2.500 7.334
0.192 2.669 -2.500 7.334
0.577 2.669 -2.500 7.354
0.965 2.669 -2.500 7.394
1.386 2.524 -2.500 7.603
1.851 2.292 -2.500 7.927
-1.993 1.700 -1.900 8.536
-1.360 2.662 -1.900 7.463
-0.964 2.681 -1.900 7.383
-0.566 2.813 -1.900 7.210
-0.188 2.813 -1.900 7.190
0.188 2.813 -1.900 7.189
0.566 2.813 -1.900 7.210
0.946 2.813 -1.900 7.250
1.367 2.622 -1.900 7.504
1.762 2.662 -1.900 7.546
-1.793 2.531 -1.300 7.681
-1.384 2.534 -1.300 7.593
-0.963 2.685 -1.300 7.378
-0.565 2.817 -1.300 7.205
-0.188 2.818 -1.300 7.185
0.188 2.818 -1.300 7.184
0.565 2.817 -1.300 7.205
0.946 2.817 -1.300 7.245
1.363 2.646 -1.300 7.480
1.762 2.662 -1.300 7.546
-1.762 2.662 -0.700 7.546
-1.382 2.545 -0.700 7.582
-0.964 2.681 -0.700 7.382
-0.575 2.700 -0.700 7.322
-0.192 2.686 -0.700 7.316
0.187 2.871 -0.700 7.131
0.542 3.112 -0.700 6.910
0.963 2.686 -0.700 7.377
1.363 2.648 -0.700 7.478
1.762 2.662 -0.700 7.546
-1.805 2.481 -0.100 7.732
-1.381 2.548 -0.100 7.579
-0.963 2.687 -0.100 7.376
-0.576 2.684 -0.100 7.338
-0.192 2.685 -0.100 7.317
0.191 2.688 -0.100 7.314
0.572 2.736 -0.100 7.287
0.965 2.672 -0.100 7.391
1.368 2.622 -0.100 7.504
1.805 2.481 -0.100 7.732
-1.772 2.618 0.500 7.592
-1.381 2.550 0.500 7.577
-0.956 2.736 0.500 7.326
-0.572 2.736 0.500 7.286
-0.192 2.668 0.500 7.334
0.192 2.660 0.500 7.342
0.575 2.699 0.500 7.324
0.944 2.830 0.500 7.232
1.370 2.607 0.500 7.519
1.772 2.618 0.500 7.592
-2.039 1.507 1.100 8.734
-1.403 2.429 1.100 7.700
-0.974 2.598 1.100 7.465
-0.579 2.648 1.100 7.375
-0.193 2.635 1.100 7.367
0.193 2.635 1.100 7.368
0.580 2.628 1.100 7.395
0.973 2.609 1.100 7.455
1.375 2.580 1.100 7.547
2.039 1.507 1.100 8.734
-2.039 1.508 1.700 8.733
-1.568 1.539 1.700 8.605
-1.022 2.239 1.700 7.828
-0.586 2.549 1.700 7.474
-0.194 2.585 1.700 7.417
0.194 2.585 1.700 7.418
0.584 2.576 1.700 7.447
0.981 2.545 1.700 7.519
1.419 2.345 1.700 7.786
2.039 1.507 1.700 8.734
-2.042 1.493 2.200 8.748
-1.577 1.492 2.200 8.653
-1.120 1.496 2.200 8.577
-0.631 1.988 2.200 8.036
-0.196 2.526 2.200 7.477
0.196 2.526 2.200 7.477
0.612 2.224 2.200 7.801
1.073 1.848 2.200 8.222
1.575 1.501 2.200 8.644
2.039 1.508 2.200 8.733
-2.055 1.442 2.800 8.802
-1.581 1.467 2.800 8.678
-1.127 1.439 2.800 8.635
-0.674 1.440 2.800 8.586
-0.224 1.443 2.800 8.560
0.224 1.442 2.800 8.561
0.673 1.444 2.800 8.583
1.127 1.440 2.800 8.634
1.581 1.467 2.800 8.678
2.055 1.442 2.800 8.802
-2.070 1.377 3.400 8.868
-1.582 1.464 3.400 8.681
-1.134 1.388 3.400 8.687
-0.678 1.388 3.400 8.639
-0.226 1.388 3.400 8.615
0.226 1.388 3.400 8.615
0.678 1.388 3.400 8.639
1.134 1.388 3.400 8.687
1.582 1.464 3.400 8.681
2.070 1.377 3.400 8.868
-1.083 7.385 4.000 2.831
-0.923 7.392 4.000 2.766
-1.613 1.299 4.000 8.849
-1.148 1.283 4.000 8.792
-0.686 1.283 4.000 8.744
-0.228 1.298 4.000 8.705
0.228 1.298 4.000 8.705
0.686 1.283 4.000 8.744
1.134 1.388 4.000 8.686
1.613 1.299 4.000 8.849
-0.953 7.700 4.500 2.489
-0.787 7.778 4.500 2.358
-0.640 7.839 4.500 2.254
-0.508 7.886 4.500 2.174
-0.390 7.893 4.500 2.142
-0.277 7.899 4.500 2.119
-0.165 7.904 4.500 2.102
-0.055 7.910 4.500 2.091
0.055 7.915 4.500 2.086
-0.947 7.713 5.100 2.475
-0.774 7.816 5.100 2.317
-0.613 7.932 5.100 2.157
-0.487 7.973 5.100 2.084
-0.373 7.988 5.100 2.047
-0.264 7.996 5.100 2.021
-0.157 8.004 5.100 2.002
-0.052 8.000 5.100 2.001
0.053 7.987 5.100 2.014
0.160 7.969 5.100 2.038
-1.063 7.433 5.700 2.778
-0.914 7.419 5.700 2.738
-0.684 7.692 5.700 2.408
-0.547 7.723 5.700 2.342
-0.417 7.752 5.700 2.286
-0.292 7.780 5.700 2.239
-1.063 7.433 6.300 2.778
-0.927 7.383 6.300 2.776
-0.783 7.357 6.300 2.756
-0.634 7.360 6.300 2.715
-0.740 6.007 6.300 4.061
-0.640 5.136 6.300 4.906
-1.689 5.922 6.900 4.414
-1.531 5.677 6.900 4.586
-1.262 5.738 6.900 4.445
-1.379 4.255 6.900 5.909
-1.072 4.215 6.900 5.883
-0.772 4.133 6.900 5.918
-0.469 4.046 6.900 5.972
-0.166 3.675 6.900 6.327
-1.476 6.437 7.400 3.856
-1.288 6.363 7.400 3.858
-1.364 5.397 7.400 4.801
-1.472 3.870 7.400 6.304
-1.132 3.893 7.400 6.211
-0.810 3.850 7.400 6.203
-0.465 4.088 7.400 5.930
-0.150 4.269 7.400 5.733
0.147 4.389 7.400 5.613
0.440 4.408 7.400 5.609
-1.570 6.209 8.000 4.103
-1.422 5.985 8.000 4.259
-1.159 6.088 8.000 4.080
-0.933 6.113 8.000 3.998
-0.719 6.123 8.000 3.943
-0.513 6.107 8.000 3.927
-0.458 4.184 8.000 5.834
-0.147 4.378 8.000 5.624
0.142 4.563 8.000 5.439
0.428 4.559 8.000 5.458
0.720 4.532 8.000 5.515
-1.575 6.199 8.600 4.114
-1.362 6.154 8.600 4.080
-1.155 6.100 8.600 4.067
-0.948 6.053 8.600 4.059
-0.728 6.072 8.600 3.995
-0.754 4.271 8.600 5.778
-0.460 4.154 8.600 5.864
-0.152 4.212 8.600 5.790
0.149 4.327 8.600 5.674
0.441 4.394 8.600 5.624
0.782 4.058 8.600 5.993
1.106 4.032 8.600 6.070
-1.456 6.485 9.200 3.804
-1.274 6.403 9.200 3.816
-1.090 6.319 9.200 3.839
-0.904 6.236 9.200 3.871
-1.046 4.357 9.200 5.739
-0.747 4.326 9.200 5.723
-0.492 3.752 9.200 6.268
-0.165 3.681 9.200 6.321
0.163 3.759 9.200 6.244
0.484 3.850 9.200 6.169
0.802 3.907 9.200 6.146
-1.398 6.626 9.700 3.652
-1.218 6.560 9.700 3.649
-1.038 6.494 9.700 3.656
-0.858 6.428 9.700 3.674
-1.119 3.962 9.700 6.141
-0.783 4.050 9.700 6.001
-0.462 4.129 9.700 5.889
-0.150 4.266 9.700 5.736
0.158 3.959 9.700 6.043
